identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
*.loctite-superglue.ro,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:09:55 UTC,2025-10-10 13:09:55 UTC
*.loctitesuperglue-3.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:10:38 UTC,2025-10-10 13:10:38 UTC
*.loctite-superkleber.at,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:11:00 UTC,2025-10-10 13:11:00 UTC
*.loctitesuperlepak.mk,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:11:27 UTC,2025-10-10 13:11:27 UTC
*.loctitesuperlepak.rs,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:11:46 UTC,2025-10-10 13:11:46 UTC
*.loctite-superljepilo.ba,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:12:07 UTC,2025-10-10 13:12:07 UTC
*.mobile.3090.loctite.es,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:12:48 UTC,2025-10-10 13:12:48 UTC
*.mobile.3090.loctite.it,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:13:10 UTC,2025-10-10 13:13:10 UTC
*.print-your-electronics-with-loctite.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:13:46 UTC,2025-10-10 13:13:46 UTC
*.proloctite.com,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:14:10 UTC,2025-10-10 13:14:10 UTC
*.tryloctite.in,WILDCARD,"",false,true,,,,critical,,2025-10-10 13:15:06 UTC,2025-10-10 13:15:06 UTC
*.devacurl.com,WILDCARD,,false,true,,,,critical,,2025-11-21 03:50:29 UTC,2025-11-21 03:50:29 UTC
*.sealforlife.com,WILDCARD,"",false,true,,,,critical,,2025-12-11 11:34:12 UTC,2025-12-11 11:34:12 UTC
